full,abbr
Percentage of degrees awarded in Personal And Culinary Services.,PCIP12
Percentage of degrees awarded in Education.,PCIP13
Percentage of degrees awarded in Engineering.,PCIP14
Percentage of degrees awarded in Engineering Technologies And Engineering-Related Fields.,PCIP15
"Percentage of degrees awarded in Foreign Languages, Literatures, And Linguistics.",PCIP16
Percentage of degrees awarded in Family And Consumer Sciences/Human Sciences.,PCIP19
Percentage of degrees awarded in Legal Professions And Studies.,PCIP22
Percentage of degrees awarded in English Language And Literature/Letters.,PCIP23
"Percentage of degrees awarded in Liberal Arts And Sciences, General Studies And Humanities.",PCIP24
Percentage of degrees awarded in Library Science.,PCIP25
Percentage of degrees awarded in Biological And Biomedical Sciences.,PCIP26
Percentage of degrees awarded in Mathematics And Statistics.,PCIP27
Percentage of degrees awarded in Military Technologies And Applied Sciences.,PCIP29
Percentage of degrees awarded in Multi/Interdisciplinary Studies.,PCIP30
"Percentage of degrees awarded in Parks, Recreation, Leisure, And Fitness Studies.",PCIP31
Percentage of degrees awarded in Philosophy And Religious Studies.,PCIP38
Percentage of degrees awarded in Theology And Religious Vocations.,PCIP39
Percentage of degrees awarded in Physical Sciences.,PCIP40
Percentage of degrees awarded in Science Technologies/Technicians.,PCIP41
Percentage of degrees awarded in Psychology.,PCIP42
"Percentage of degrees awarded in Homeland Security, Law Enforcement, Firefighting And Related Protective Services.",PCIP43
Percentage of degrees awarded in Public Administration And Social Service Professions.,PCIP44
Percentage of degrees awarded in Social Sciences.,PCIP45
Percentage of degrees awarded in Construction Trades.,PCIP46
Percentage of degrees awarded in Mechanic And Repair Technologies/Technicians.,PCIP47
Percentage of degrees awarded in Precision Production.,PCIP48
Percentage of degrees awarded in Transportation And Materials Moving.,PCIP49
Percentage of degrees awarded in Visual And Performing Arts.,PCIP50
Percentage of degrees awarded in Health Professions And Related Programs.,PCIP51
"Percentage of degrees awarded in Business, Management, Marketing, And Related Support Services.",PCIP52
Percentage of degrees awarded in History.,PCIP54
"Certificate of less than one academic year in Agriculture, Agriculture Operations, And Related Sciences.",CIP01CERT1
"Certificate of at least one but less than two academic years in Agriculture, Agriculture Operations, And Related Sciences.",CIP01CERT2
"Associate degree in Agriculture, Agriculture Operations, And Related Sciences.",CIP01ASSOC
"Awards of at least two but less than four academic years in Agriculture, Agriculture Operations, And Related Sciences.",CIP01CERT4
"Bachelor's degree in Agriculture, Agriculture Operations, And Related Sciences.",CIP01BACHL
Certificate of less than one academic year in Natural Resources And Conservation.,CIP03CERT1
Certificate of at least one but less than two academic years in Natural Resources And Conservation.,CIP03CERT2
Associate degree in Natural Resources And Conservation.,CIP03ASSOC
Award of at least two but less than four academic years in Natural Resources And Conservation.,CIP03CERT4
Bachelor's degree in Natural Resources And Conservation.,CIP03BACHL
Certificate of less than one academic year in Architecture And Related Services.,CIP04CERT1
Certificate of at least one but less than two academic years in Architecture And Related Services.,CIP04CERT2
Associate degree in Architecture And Related Services.,CIP04ASSOC
Award of more than two but less than four academic years in Architecture And Related Services.,CIP04CERT4
Bachelor's degree in Architecture And Related Services.,CIP04BACHL
"Certificate of less than one academic year in Area, Ethnic, Cultural, Gender, And Group Studies.",CIP05CERT1
"Certificate of at least one but less than two academic years in Area, Ethnic, Cultural, Gender, And Group Studies.",CIP05CERT2
"Associate degree in Area, Ethnic, Cultural, Gender, And Group Studies.",CIP05ASSOC
"Award of more than two but less than four academic years in Area, Ethnic, Cultural, Gender, And Group Studies.",CIP05CERT4
"Bachelor's degree in Area, Ethnic, Cultural, Gender, And Group Studies.",CIP05BACHL
"Certificate of less than one academic year in Communication, Journalism, And Related Programs.",CIP09CERT1
"Certificate of at least one but less than two academic years in Communication, Journalism, And Related Programs.",CIP09CERT2
"Associate degree in Communication, Journalism, And Related Programs.",CIP09ASSOC
"Award of more than two but less than four academic years in Communication, Journalism, And Related Programs.",CIP09CERT4
"Bachelor's degree in Communication, Journalism, And Related Programs.",CIP09BACHL
Certificate of less than one academic year in Communications Technologies/Technicians And Support Services.,CIP10CERT1
Certificate of at least one but less than two academic years in Communications Technologies/Technicians And Support Services.,CIP10CERT2
Associate degree in Communications Technologies/Technicians And Support Services.,CIP10ASSOC
Award of more than two but less than four academic years in Communications Technologies/Technicians And Support Services.,CIP10CERT4
Bachelor's degree in Communications Technologies/Technicians And Support Services.,CIP10BACHL
Certificate of less than one academic year in Computer And Information Sciences And Support Services.,CIP11CERT1
Certificate of at least one but less than two academic years in Computer And Information Sciences And Support Services.,CIP11CERT2
Associate degree in Computer And Information Sciences And Support Services.,CIP11ASSOC
Award of more than two but less than four academic years in Computer And Information Sciences And Support Services.,CIP11CERT4
Bachelor's degree in Computer And Information Sciences And Support Services.,CIP11BACHL
Certificate of less than one academic year in Personal And Culinary Services.,CIP12CERT1
Certificate of at least one but less than two academic years in Personal And Culinary Services.,CIP12CERT2
Associate degree in Personal And Culinary Services.,CIP12ASSOC
Award of more than two but less than four academic years in Personal And Culinary Services.,CIP12CERT4
Bachelor's degree in Personal And Culinary Services.,CIP12BACHL
Certificate of less than one academic year in Education.,CIP13CERT1
Certificate of at least one but less than two academic years in Education.,CIP13CERT2
Associate degree in Education.,CIP13ASSOC
Award of more than two but less than four academic years in Education.,CIP13CERT4
Bachelor's degree in Education.,CIP13BACHL
Certificate of less than one academic year in Engineering.,CIP14CERT1
Certificate of at least one but less than two academic years in Engineering.,CIP14CERT2
Associate degree in Engineering.,CIP14ASSOC
Award of more than two but less than four academic years in Engineering.,CIP14CERT4
Bachelor's degree in Engineering.,CIP14BACHL
Certificate of less than one academic year in Engineering Technologies And Engineering-Related Fields.,CIP15CERT1
Certificate of at least one but less than two academic years in Engineering Technologies And Engineering-Related Fields.,CIP15CERT2
Associate degree in Engineering Technologies And Engineering-Related Fields.,CIP15ASSOC
Award of more than two but less than four academic years in Engineering Technologies And Engineering-Related Fields.,CIP15CERT4
Bachelor's degree in Engineering Technologies And Engineering-Related Fields.,CIP15BACHL
"Certificate of less than one academic year in Foreign Languages, Literatures, And Linguistics.",CIP16CERT1
"Certificate of at least one but less than two academic years in Foreign Languages, Literatures, And Linguistics.",CIP16CERT2
"Associate degree in Foreign Languages, Literatures, And Linguistics.",CIP16ASSOC
"Award of more than two but less than four academic years in Foreign Languages, Literatures, And Linguistics.",CIP16CERT4
"Bachelor's degree in Foreign Languages, Literatures, And Linguistics.",CIP16BACHL
Certificate of less than one academic year in Family And Consumer Sciences/Human Sciences.,CIP19CERT1
Certificate of at least one but less than two academic years in Family And Consumer Sciences/Human Sciences.,CIP19CERT2
Associate degree in Family And Consumer Sciences/Human Sciences.,CIP19ASSOC
Award of more than two but less than four academic years in Family And Consumer Sciences/Human Sciences.,CIP19CERT4
Bachelor's degree in Family And Consumer Sciences/Human Sciences.,CIP19BACHL
Certificate of less than one academic year in Legal Professions And Studies.,CIP22CERT1
Certificate of at least one but less than two academic years in Legal Professions And Studies.,CIP22CERT2
Associate degree in Legal Professions And Studies.,CIP22ASSOC
Award of more than two but less than four academic years in Legal Professions And Studies.,CIP22CERT4
Bachelor's degree in Legal Professions And Studies.,CIP22BACHL
Certificate of less than one academic year in English Language And Literature/Letters.,CIP23CERT1
Certificate of at least one but less than two academic years in English Language And Literature/Letters.,CIP23CERT2
Associate degree in English Language And Literature/Letters.,CIP23ASSOC
Award of more than two but less than four academic years in English Language And Literature/Letters.,CIP23CERT4
Bachelor's degree in English Language And Literature/Letters.,CIP23BACHL
"Certificate of less than one academic year in Liberal Arts And Sciences, General Studies And Humanities.",CIP24CERT1
"Certificate of at least one but less than two academic years in Liberal Arts And Sciences, General Studies And Humanities.",CIP24CERT2
"Associate degree in Liberal Arts And Sciences, General Studies And Humanities.",CIP24ASSOC
"Award of more than two but less than four academic years in Liberal Arts And Sciences, General Studies And Humanities.",CIP24CERT4
"Bachelor's degree in Liberal Arts And Sciences, General Studies And Humanities.",CIP24BACHL
Certificate of less than one academic year in Library Science.,CIP25CERT1
Certificate of at least one but less than two academic years in Library Science.,CIP25CERT2
Associate degree in Library Science.,CIP25ASSOC
Award of more than two but less than four academic years in Library Science.,CIP25CERT4
Bachelor's degree in Library Science.,CIP25BACHL
Certificate of less than one academic year in Biological And Biomedical Sciences.,CIP26CERT1
Certificate of at least one but less than two academic years in Biological And Biomedical Sciences.,CIP26CERT2
Associate degree in Biological And Biomedical Sciences.,CIP26ASSOC
Award of more than two but less than four academic years in Biological And Biomedical Sciences.,CIP26CERT4
Bachelor's degree in Biological And Biomedical Sciences.,CIP26BACHL
Certificate of less than one academic year in Mathematics And Statistics.,CIP27CERT1
Certificate of at least one but less than two academic years in Mathematics And Statistics.,CIP27CERT2
Associate degree in Mathematics And Statistics.,CIP27ASSOC
Award of more than two but less than four academic years in Mathematics And Statistics.,CIP27CERT4
Bachelor's degree in Mathematics And Statistics.,CIP27BACHL
Certificate of less than one academic year in Military Technologies And Applied Sciences.,CIP29CERT1
Certificate of at least one but less than two academic years in Military Technologies And Applied Sciences.,CIP29CERT2
Associate degree in Military Technologies And Applied Sciences.,CIP29ASSOC
Award of more than two but less than four academic years in Military Technologies And Applied Sciences.,CIP29CERT4
Bachelor's degree in Military Technologies And Applied Sciences.,CIP29BACHL
Certificate of less than one academic year in Multi/Interdisciplinary Studies.,CIP30CERT1
Certificate of at least one but less than two academic years in Multi/Interdisciplinary Studies.,CIP30CERT2
Associate degree in Multi/Interdisciplinary Studies.,CIP30ASSOC
Award of more than two but less than four academic years in Multi/Interdisciplinary Studies.,CIP30CERT4
Bachelor's degree in Multi/Interdisciplinary Studies.,CIP30BACHL
"Certificate of less than one academic year in Parks, Recreation, Leisure, And Fitness Studies.",CIP31CERT1
"Certificate of at least one but less than two academic years in Parks, Recreation, Leisure, And Fitness Studies.",CIP31CERT2
"Associate degree in Parks, Recreation, Leisure, And Fitness Studies.",CIP31ASSOC
"Award of more than two but less than four academic years in Parks, Recreation, Leisure, And Fitness Studies.",CIP31CERT4
"Bachelor's degree in Parks, Recreation, Leisure, And Fitness Studies.",CIP31BACHL
Certificate of less than one academic year in Philosophy And Religious Studies.,CIP38CERT1
Certificate of at least one but less than two academic years in Philosophy And Religious Studies.,CIP38CERT2
Associate degree in Philosophy And Religious Studies.,CIP38ASSOC
Award of more than two but less than four academic years in Philosophy And Religious Studies.,CIP38CERT4
Bachelor's degree in Philosophy And Religious Studies.,CIP38BACHL
Certificate of less than one academic year in Theology And Religious Vocations.,CIP39CERT1
Certificate of at least one but less than two academic years in Theology And Religious Vocations.,CIP39CERT2
Associate degree in Theology And Religious Vocations.,CIP39ASSOC
Award of more than two but less than four academic years in Theology And Religious Vocations.,CIP39CERT4
Bachelor's degree in Theology And Religious Vocations.,CIP39BACHL
Certificate of less than one academic year in Physical Sciences.,CIP40CERT1
Certificate of at least one but less than two academic years in Physical Sciences.,CIP40CERT2
Associate degree in Physical Sciences.,CIP40ASSOC
Award of more than two but less than four academic years in Physical Sciences.,CIP40CERT4
Bachelor's degree in Physical Sciences.,CIP40BACHL
Certificate of less than one academic year in Science Technologies/Technicians.,CIP41CERT1
Certificate of at least one but less than two academic years in Science Technologies/Technicians.,CIP41CERT2
Associate degree in Science Technologies/Technicians.,CIP41ASSOC
Award of more than two but less than four academic years in Science Technologies/Technicians.,CIP41CERT4
Bachelor's degree in Science Technologies/Technicians.,CIP41BACHL
Certificate of less than one academic year in Psychology.,CIP42CERT1
Certificate of at least one but less than two academic years in Psychology.,CIP42CERT2
Associate degree in Psychology.,CIP42ASSOC
Award of more than two but less than four academic years in Psychology.,CIP42CERT4
Bachelor's degree in Psychology.,CIP42BACHL
"Certificate of less than one academic year in Homeland Security, Law Enforcement, Firefighting And Related Protective Services.",CIP43CERT1
"Certificate of at least one but less than two academic years in Homeland Security, Law Enforcement, Firefighting And Related Protective Services.",CIP43CERT2
"Associate degree in Homeland Security, Law Enforcement, Firefighting And Related Protective Services.",CIP43ASSOC
"Award of more than two but less than four academic years in Homeland Security, Law Enforcement, Firefighting And Related Protective Services.",CIP43CERT4
"Bachelor's degree in Homeland Security, Law Enforcement, Firefighting And Related Protective Services.",CIP43BACHL
Certificate of less than one academic year in Public Administration And Social Service Professions.,CIP44CERT1
Certificate of at least one but less than two academic years in Public Administration And Social Service Professions.,CIP44CERT2
Associate degree in Public Administration And Social Service Professions.,CIP44ASSOC
Award of more than two but less than four academic years in Public Administration And Social Service Professions.,CIP44CERT4
Bachelor's degree in Public Administration And Social Service Professions.,CIP44BACHL
Certificate of less than one academic year in Social Sciences.,CIP45CERT1
Certificate of at least one but less than two academic years in Social Sciences.,CIP45CERT2
Associate degree in Social Sciences.,CIP45ASSOC
Award of more than two but less than four academic years in Social Sciences.,CIP45CERT4
Bachelor's degree in Social Sciences.,CIP45BACHL
Certificate of less than one academic year in Construction Trades.,CIP46CERT1
Certificate of at least one but less than two academic years in Construction Trades.,CIP46CERT2
Associate degree in Construction Trades.,CIP46ASSOC
Award of more than two but less than four academic years in Construction Trades.,CIP46CERT4
Bachelor's degree in Construction Trades.,CIP46BACHL
Certificate of less than one academic year in Mechanic And Repair Technologies/Technicians.,CIP47CERT1
Certificate of at least one but less than two academic years in Mechanic And Repair Technologies/Technicians.,CIP47CERT2
Associate degree in Mechanic And Repair Technologies/Technicians.,CIP47ASSOC
Award of more than two but less than four academic years in Mechanic And Repair Technologies/Technicians.,CIP47CERT4
Bachelor's degree in Mechanic And Repair Technologies/Technicians.,CIP47BACHL
Certificate of less than one academic year in Precision Production.,CIP48CERT1
Certificate of at least one but less than two academic years in Precision Production.,CIP48CERT2
Associate degree in Precision Production.,CIP48ASSOC
Award of more than two but less than four academic years in Precision Production.,CIP48CERT4
Bachelor's degree in Precision Production.,CIP48BACHL
Certificate of less than one academic year in Transportation And Materials Moving.,CIP49CERT1
Certificate of at least one but less than two academic years in Transportation And Materials Moving.,CIP49CERT2
Associate degree in Transportation And Materials Moving.,CIP49ASSOC
Award of more than two but less than four academic years in Transportation And Materials Moving.,CIP49CERT4
Bachelor's degree in Transportation And Materials Moving.,CIP49BACHL
Certificate of less than one academic year in Visual And Performing Arts.,CIP50CERT1
Certificate of at least one but less than two academic years in Visual And Performing Arts.,CIP50CERT2
Associate degree in Visual And Performing Arts.,CIP50ASSOC
Award of more than two but less than four academic years in Visual And Performing Arts.,CIP50CERT4
Bachelor's degree in Visual And Performing Arts.,CIP50BACHL
Certificate of less than one academic year in Health Professions And Related Programs.,CIP51CERT1
Certificate of at least one but less than two academic years in Health Professions And Related Programs.,CIP51CERT2
Associate degree in Health Professions And Related Programs.,CIP51ASSOC
Award of more than two but less than four academic years in Health Professions And Related Programs.,CIP51CERT4
Bachelor's degree in Health Professions And Related Programs.,CIP51BACHL
"Certificate of less than one academic year in Business, Management, Marketing, And Related Support Services.",CIP52CERT1
"Certificate of at least one but less than two academic years in Business, Management, Marketing, And Related Support Services.",CIP52CERT2
"Associate degree in Business, Management, Marketing, And Related Support Services.",CIP52ASSOC
"Award of more than two but less than four academic years in Business, Management, Marketing, And Related Support Services.",CIP52CERT4
"Bachelor's degree in Business, Management, Marketing, And Related Support Services.",CIP52BACHL
Certificate of less than one academic year in History.,CIP54CERT1
Certificate of at least one but less than two academic years in History.,CIP54CERT2
Associate degree in History.,CIP54ASSOC
Award of more than two but less than four academic years in History.,CIP54CERT4
Bachelor's degree in History.,CIP54BACHL
Flag for distance-education-only education,DISTANCEONLY
Enrollment of undergraduate certificate/degree-seeking students,UGDS
Enrollment of all undergraduate students,UG
Total share of enrollment of undergraduate degree-seeking students who are white,UGDS_WHITE
Total share of enrollment of undergraduate degree-seeking students who are black,UGDS_BLACK
Total share of enrollment of undergraduate degree-seeking students who are Hispanic,UGDS_HISP
Total share of enrollment of undergraduate degree-seeking students who are Asian,UGDS_ASIAN
Total share of enrollment of undergraduate degree-seeking students who are American Indian/Alaska Native,UGDS_AIAN
Total share of enrollment of undergraduate degree-seeking students who are Native Hawaiian/Pacific Islander,UGDS_NHPI
Total share of enrollment of undergraduate degree-seeking students who are two or more races,UGDS_2MOR
Total share of enrollment of undergraduate degree-seeking students who are non-resident aliens,UGDS_NRA
Total share of enrollment of undergraduate degree-seeking students whose race is unknown,UGDS_UNKN
Total share of enrollment of undergraduate degree-seeking students who are white non-Hispanic,UGDS_WHITENH
Total share of enrollment of undergraduate degree-seeking students who are black non-Hispanic,UGDS_BLACKNH
Total share of enrollment of undergraduate degree-seeking students who are Asian/Pacific Islander,UGDS_API
Total share of enrollment of undergraduate degree-seeking students who are American Indian/Alaska Native,UGDS_AIANOLD
Total share of enrollment of undergraduate degree-seeking students who are Hispanic,UGDS_HISPOLD
Total share of enrollment of undergraduate students who are non-resident aliens,UG_NRA
Total share of enrollment of undergraduate students whose race is unknown,UG_UNKN
Total share of enrollment of undergraduate students who are white non-Hispanic,UG_WHITENH
Total share of enrollment of undergraduate students who are black non-Hispanic,UG_BLACKNH
Total share of enrollment of undergraduate students who are Asian/Pacific Islander,UG_API
Total share of enrollment of undergraduate students who are American Indian/Alaska Native,UG_AIANOLD
Total share of enrollment of undergraduate students who are Hispanic,UG_HISPOLD
"Share of undergraduate, degree-/certificate-seeking students who are part-time",PPTUG_EF
"Share of undergraduate, degree-/certificate-seeking students who are part-time",PPTUG_EF2
"Flag for currently operating institution, 0=closed, 1=operating",CURROPER
Average net price for Title IV institutions (public institutions),NPT4_PUB
Average net price for Title IV institutions (private for-profit and nonprofit institutions),NPT4_PRIV
Average net price for the largest program at the institution for program-year institutions,NPT4_PROG
"Average net price for the largest program at the institution for schools on ""other"" academic year calendars",NPT4_OTHER
"Average net price for $0-$30,000 family income (public institutions)",NPT41_PUB
"Average net price for $30,001-$48,000 family income (public institutions)",NPT42_PUB
"Average net price for $48,001-$75,000 family income (public institutions)",NPT43_PUB
"Average net price for $75,001-$110,000 family income (public institutions)",NPT44_PUB
"Average net price for $110,000+ family income (public institutions)",NPT45_PUB
"Average net price for $0-$30,000 family income (private for-profit and nonprofit institutions)",NPT41_PRIV
"Average net price for $30,001-$48,000 family income (private for-profit and nonprofit institutions)",NPT42_PRIV
"Average net price for $48,001-$75,000 family income (private for-profit and nonprofit institutions)",NPT43_PRIV
"Average net price for $75,001-$110,000 family income (private for-profit and nonprofit institutions)",NPT44_PRIV
"Average net price for $110,000+ family income (private for-profit and nonprofit institutions)",NPT45_PRIV
"Average net price for $0-$30,000 family income (program-year institutions)",NPT41_PROG
"Average net price for $30,001-$48,000 family income (program-year institutions)",NPT42_PROG
"Average net price for $48,001-$75,000 family income (program-year institutions)",NPT43_PROG
"Average net price for $75,001-$110,000 family income (program-year institutions)",NPT44_PROG
"Average net price for $110,000+ family income (program-year institutions)",NPT45_PROG
"Average net price for $0-$30,000 family income (other academic calendar institutions)",NPT41_OTHER
"Average net price for $30,001-$48,000 family income (other academic calendar institutions)",NPT42_OTHER
"Average net price for $48,001-$75,000 family income (other academic calendar institutions)",NPT43_OTHER
"Average net price for $75,001-$110,000 family income (other academic calendar institutions)",NPT44_OTHER
"Average net price for $110,000+ family income (other academic calendar institutions)",NPT45_OTHER
"Average net price for $0-$48,000 family income (public institutions)",NPT4_048_PUB
"Average net price for $0-$48,000 family income (private for-profit and nonprofit institutions)",NPT4_048_PRIV
"Average net price for $0-$48,000 family income (program-year institutions)",NPT4_048_PROG
"Average net price for $0-$48,000 family income (other academic calendar institutions)",NPT4_048_OTHER
"Average net price for $30,001-$75,000 family income (public institutions)",NPT4_3075_PUB
"Average net price for $30,001-$75,000 family income (private for-profit and nonprofit institutions)",NPT4_3075_PRIV
"Average net price for $75,000+ family income (public institutions)",NPT4_75UP_PUB
"Average net price for $75,000+ family income (private for-profit and nonprofit institutions)",NPT4_75UP_PRIV
"Average net price for $30,001-$75,000 family income (program-year institutions)",NPT4_3075_PROG
"Average net price for $30,001-$75,000 family income (other academic calendar institutions)",NPT4_3075_OTHER
"Average net price for $75,000+ family income (program-year institutions)",NPT4_75UP_PROG
"Average net price for $75,000+ family income (other academic calendar institutions)",NPT4_75UP_OTHER
Number of Title IV students (public institutions),NUM4_PUB
Number of Title IV students (private for-profit and nonprofit institutions),NUM4_PRIV
Number of Title IV students (program-year institutions),NUM4_PROG
Number of Title IV students (other academic calendar institutions),NUM4_OTHER
"Number of Title IV students, $0-$30,000 family income (public institutions)",NUM41_PUB
"Number of Title IV students, $30,001-$48,000 family income (public institutions)",NUM42_PUB
"Number of Title IV students, $48,001-$75,000 family income (public institutions)",NUM43_PUB
"Number of Title IV students, $75,001-$110,000 family income (public institutions)",NUM44_PUB
"Number of Title IV students, $110,000+ family income (public institutions)",NUM45_PUB
"Number of Title IV students, $0-$30,000 family income (private for-profit and nonprofit institutions)",NUM41_PRIV
"Number of Title IV students, $30,001-$48,000 family income (private for-profit and nonprofit institutions)",NUM42_PRIV
"Number of Title IV students, $48,001-$75,000 family income (private for-profit and nonprofit institutions)",NUM43_PRIV
"Number of Title IV students, $75,001-$110,000 family income (private for-profit and nonprofit institutions)",NUM44_PRIV
"Number of Title IV students, $110,000+ family income (private for-profit and nonprofit institutions)",NUM45_PRIV
"Number of Title IV students, $0-$30,000 family income (program-year institutions)",NUM41_PROG
"Number of Title IV students, $30,001-$48,000 family income (program-year institutions)",NUM42_PROG
"Number of Title IV students, $48,001-$75,000 family income (program-year institutions)",NUM43_PROG
"Number of Title IV students, $75,001-$110,000 family income (program-year institutions)",NUM44_PROG
"Number of Title IV students, $110,000+ family income (program-year institutions)",NUM45_PROG
"Number of Title IV students, $0-$30,000 family income (other academic calendar institutions)",NUM41_OTHER
"Number of Title IV students, $30,001-$48,000 family income (other academic calendar institutions)",NUM42_OTHER
"Number of Title IV students, $48,001-$75,000 family income (other academic calendar institutions)",NUM43_OTHER
"Number of Title IV students, $75,001-$110,000 family income (other academic calendar institutions)",NUM44_OTHER
"Number of Title IV students, $110,000+ family income (other academic calendar institutions)",NUM45_OTHER
Average cost of attendance (academic year institutions),COSTT4_A
Average cost of attendance (program-year institutions),COSTT4_P
In-state tuition and fees,TUITIONFEE_IN
Out-of-state tuition and fees,TUITIONFEE_OUT
Tuition and fees for program-year institutions,TUITIONFEE_PROG
Net tuition revenue per full-time equivalent student,TUITFTE
Instructional expenditures per full-time equivalent student,INEXPFTE
Average faculty salary,AVGFACSAL
Proportion of faculty that is full-time,PFTFAC
Percentage of undergraduates who receive a Pell Grant,PCTPELL
"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion)",C150_4
"Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion)",C150_L4
"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion), pooled for two year rolling averages",C150_4_POOLED
"Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion), pooled for two year rolling averages",C150_L4_POOLED
Years used for rolling averages of completion rate C150_[4/L4]_POOLED,POOLYRS
"Share of entering undergraduate students who are first-time, full-time degree-/certificate-seeking undergraduate students",PFTFTUG1_EF
Adjusted cohort count for completion rate at four-year institutions (denominator of 150% completion rate),D150_4
Adjusted cohort count for completion rate at less-than-four-year institutions (denominator of 150% completion rate),D150_L4
"Adjusted cohort count for completion rate at four-year institutions (denominator of 150% completion rate), pooled for two-year rolling averages",D150_4_POOLED
"Adjusted cohort count for completion rate at less-than-four-year institutions (denominator of 150% completion rate), pooled for two-year rolling averages",D150_L4_POOLED
"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion) for white students",C150_4_WHITE
"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion) for black students",C150_4_BLACK
"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion) for Hispanic students",C150_4_HISP
"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion) for Asian students",C150_4_ASIAN
"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion) for American Indian/Alaska Native students",C150_4_AIAN
"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion) for Native Hawaiian/Pacific Islander students",C150_4_NHPI
"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion) for students of two-or-more-races",C150_4_2MOR
"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion) for non-resident alien students",C150_4_NRA
"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion) for students whose race is unknown",C150_4_UNKN
"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion) for white students",C150_4_WHITENH
"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion) for black students",C150_4_BLACKNH
